data,Gauged Daily Flow,
31.08.1973,0,
01.09.1973,0,
02.09.1973,0,
03.09.1973,0,
04.09.1973,0,
05.09.1973,0,
06.09.1973,0,
07.09.1973,0,
08.09.1973,0,
09.09.1973,0,
10.09.1973,0,
11.09.1973,0,
12.09.1973,0,
13.09.1973,0,
14.09.1973,0,
15.09.1973,0,
16.09.1973,0.001,
17.09.1973,0,
18.09.1973,0,
19.09.1973,0,
20.09.1973,0,
21.09.1973,0,
22.09.1973,0,
23.09.1973,0,
24.09.1973,0,
25.09.1973,0,
26.09.1973,0,
27.09.1973,0,
28.09.1973,0,
29.09.1973,0,
30.09.1973,0.016,
01.10.1973,0.05,
02.10.1973,0.05,
03.10.1973,0.033,
04.10.1973,0.023,
05.10.1973,0.021,
06.10.1973,0.007,
07.10.1973,0.003,
08.10.1973,0.004,
09.10.1973,0.004,
10.10.1973,0,
11.10.1973,0.283,
12.10.1973,0.06,
13.10.1973,0.038,
14.10.1973,0.02,
15.10.1973,0.045,
16.10.1973,0.089,
17.10.1973,0.059,
18.10.1973,0.035,
19.10.1973,0.144,
20.10.1973,0.164,
21.10.1973,0.192,
22.10.1973,0.081,
23.10.1973,0.108,
24.10.1973,0.044,
25.10.1973,0.033,
26.10.1973,0.017,
27.10.1973,0.007,
28.10.1973,0.004,
29.10.1973,0.012,
30.10.1973,0.002,
31.10.1973,0,
01.11.1973,0,
02.11.1973,0,
03.11.1973,0,
04.11.1973,0,
05.11.1973,0.008,
06.11.1973,0.005,
07.11.1973,0.001,
08.11.1973,0.01,
09.11.1973,0.002,
10.11.1973,0.34,
11.11.1973,0.537,
12.11.1973,0.288,
13.11.1973,0.484,
14.11.1973,0.086,
15.11.1973,0.17,
16.11.1973,0.09,
17.11.1973,0.065,
18.11.1973,0.069,
19.11.1973,0.107,
20.11.1973,0.029,
21.11.1973,0.01,
22.11.1973,0.032,
23.11.1973,0.066,
24.11.1973,0.1,
25.11.1973,0.042,
26.11.1973,0,
27.11.1973,0,
28.11.1973,0,
29.11.1973,0,
30.11.1973,0,
01.12.1973,0,
02.12.1973,0,
03.12.1973,0.004,
04.12.1973,0.026,
05.12.1973,0.003,
06.12.1973,0.01,
07.12.1973,0,
08.12.1973,0.054,
09.12.1973,0.041,
10.12.1973,0.033,
11.12.1973,0.058,
12.12.1973,0.055,
13.12.1973,0.264,
14.12.1973,0.157,
15.12.1973,0.009,
16.12.1973,0.187,
17.12.1973,0.077,
18.12.1973,0.08,
19.12.1973,0.22,
20.12.1973,0.327,
21.12.1973,0.168,
22.12.1973,0.119,
23.12.1973,0.08,
24.12.1973,0.059,
25.12.1973,0.062,
26.12.1973,0.054,
27.12.1973,0.067,
28.12.1973,0.087,
29.12.1973,0.039,
30.12.1973,0.054,
31.12.1973,0.033,
